id,book_id,best_book_id,books_count,isbn13,authors,original_publication_year,original_title,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,image_url
19,34,34,566,9780618346260,J.R.R. Tolkien,1954, The Fellowship of the Ring,4.34,1766803,1832541,15333,https://images.gr-assets.com/books/1298411339m/34.jpg
20,7260188,7260188,239,9780439023510,Suzanne Collins,2010,Mockingjay,4.03,1719760,1870748,96274,https://images.gr-assets.com/books/1358275419m/7260188.jpg
21,2,2,307,9780439358070,"J.K. Rowling, Mary GrandPré",2003,Harry Potter and the Order of the Phoenix,4.46,1735368,1840548,28685,https://images.gr-assets.com/books/1387141547m/2.jpg
22,12232938,12232938,183,9780316166680,Alice Sebold,2002,The Lovely Bones,3.77,1605173,1661562,36642,https://images.gr-assets.com/books/1457810586m/12232938.jpg
23,15881,15881,398,9780439064870,"J.K. Rowling, Mary GrandPré",1998,Harry Potter and the Chamber of Secrets,4.37,1779331,1906199,34172,https://images.gr-assets.com/books/1474169725m/15881.jpg
24,6,6,332,9780439139600,"J.K. Rowling, Mary GrandPré",2000,Harry Potter and the Goblet of Fire,4.53,1753043,1868642,31084,https://images.gr-assets.com/books/1361482611m/6.jpg
25,136251,136251,263,9780545010220,"J.K. Rowling, Mary GrandPré",2007,Harry Potter and the Deathly Hallows,4.61,1746574,1847395,51942,https://images.gr-assets.com/books/1474171184m/136251.jpg
26,968,968,350,9780307277670,Dan Brown,2003,The Da Vinci Code,3.79,1447148,1557292,41560,https://images.gr-assets.com/books/1303252999m/968.jpg
27,1,1,275,9780439785970,"J.K. Rowling, Mary GrandPré",2005,Harry Potter and the Half-Blood Prince,4.54,1678823,1785676,27520,https://images.gr-assets.com/books/1361039191m/1.jpg
28,7624,7624,458,9780140283330,William Golding,1954,Lord of the Flies ,3.64,1605019,1671484,26886,https://images.gr-assets.com/books/1327869409m/7624.jpg
29,18135,18135,1937,9780743477120,"William Shakespeare, Robert           Jackson",1595,An Excellent conceited Tragedie of Romeo and Juliet,3.73,1628519,1672889,14778,https://images.gr-assets.com/books/1327872146m/18135.jpg
30,8442457,19288043,196,9780297859380,Gillian Flynn,2012,Gone Girl,4.03,512475,1626519,121614,https://images.gr-assets.com/books/1339602131m/8442457.jpg
31,4667024,4667024,183,9780399155340,Kathryn Stockett,2009,The Help,4.45,1531753,1603545,78204,https://images.gr-assets.com/books/1346100365m/4667024.jpg
32,890,890,373,9780142000670,John Steinbeck,1937,Of Mice and Men ,3.84,1467496,1518741,24642,https://images.gr-assets.com/books/1437235233m/890.jpg
33,930,929,220,9780739326220,Arthur Golden,1997,Memoirs of a Geisha,4.08,1300209,1418172,25605,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
34,10818853,10818853,169,9781612130290,E.L. James,2011,Fifty Shades of Grey,3.67,1338493,1436818,75437,https://images.gr-assets.com/books/1385207843m/10818853.jpg
35,865,865,458,9780061122420,"Paulo Coelho, Alan R. Clarke",1988,O Alquimista,3.82,1299566,1403995,55781,https://images.gr-assets.com/books/1483412266m/865.jpg
36,3636,3636,192,9780385732550,Lois Lowry,1993,The Giver,4.12,1296825,1345445,54084,https://images.gr-assets.com/books/1342493368m/3636.jpg
37,100915,100915,474,9780060764890,C.S. Lewis,1950,"The Lion, the Witch and the Wardrobe",4.19,1531800,1584884,15186,https://images.gr-assets.com/books/1353029077m/100915.jpg
38,14050,18619684,167,9780965818670,Audrey Niffenegger,2003,The Time Traveler's Wife,3.95,746287,1308667,43382,https://images.gr-assets.com/books/1437728815m/14050.jpg
39,13496,13496,101,9780553588480,George R.R. Martin,1996,A Game of Thrones,4.45,1319204,1442220,46205,https://images.gr-assets.com/books/1436732693m/13496.jpg
40,19501,19501,185,9780143038410,Elizabeth Gilbert,2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",3.51,1181647,1206597,49714,https://images.gr-assets.com/books/1503066414m/19501.jpg
41,28187,28187,159,9780786838650,Rick Riordan,2005,The Lightning Thief,4.23,1366265,1411114,46006,https://images.gr-assets.com/books/1400602609m/28187.jpg
42,1934,1934,1707,9780451529300,Louisa May Alcott,1868,Little Women,4.04,1257121,1314293,17090,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
43,10210,10210,2568,9780142437210,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,4.1,1198557,1286135,31212,https://images.gr-assets.com/books/1327867269m/10210.jpg
44,15931,15931,190,9780553816720,Nicholas Sparks,1996,The Notebook,4.06,1053403,1076749,17279,https://images.gr-assets.com/books/1385738917m/15931.jpg
45,4214,4214,264,9780770430080,Yann Martel,2001,Life of Pi,3.88,1003228,1077431,42962,https://images.gr-assets.com/books/1320562005m/4214.jpg
46,43641,43641,128,9781565125600,Sara Gruen,2006,Water for Elephants,4.07,1068146,1108839,55732,https://images.gr-assets.com/books/1494428973m/43641.jpg
47,19063,19063,251,9780375831000,Markus Zusak,2005,The Book Thief,4.36,1159741,1287798,93611,https://images.gr-assets.com/books/1390053681m/19063.jpg
48,4381,4381,507,9780307347980,Ray Bradbury,1953,Fahrenheit 451,3.97,570498,1176240,30694,https://images.gr-assets.com/books/1351643740m/4381.jpg
49,49041,49041,194,9780316160190,Stephenie Meyer,2006,"New Moon (Twilight, #2)",3.52,1149630,1199000,44020,https://images.gr-assets.com/books/1361039440m/49041.jpg
50,30119,30119,45,9780060513030,Shel Silverstein,1974,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,4.29,1016888,1023781,9234,https://images.gr-assets.com/books/1168052448m/30119.jpg
51,256683,256683,178,9781416914280,Cassandra Clare,2007,City of Bones,4.12,1154031,1241799,51589,https://images.gr-assets.com/books/1432730315m/256683.jpg
52,428263,428263,185,9780316160210,Stephenie Meyer,2007,Eclipse,3.69,1134511,1176642,35216,https://images.gr-assets.com/books/1361038355m/428263.jpg
53,113436,113436,217,9780375826700,Christopher Paolini,2002,Eragon,3.86,1104021,1125231,18280,https://images.gr-assets.com/books/1366212852m/113436.jpg
54,11,386162,257,9780345391800,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,4.2,936782,1006479,20345,https://images.gr-assets.com/books/1327656754m/11.jpg
55,5129,5129,515,9780060929880,Aldous Huxley,1932,Brave New World,3.97,1022601,1079135,20095,https://images.gr-assets.com/books/1487389574m/5129.jpg
56,1162543,1162543,183,9780316067930,Stephenie Meyer,2008,Breaking Dawn,3.7,1070245,1107709,44550,https://images.gr-assets.com/books/1361039438m/1162543.jpg
57,37435,37435,125,9780142001740,Sue Monk Kidd,2001,The Secret Life of Bees,4.01,916189,937393,26522,https://images.gr-assets.com/books/1473454532m/37435.jpg
58,2956,2956,2277,9780142437180,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,3.8,953758,1001491,12448,https://images.gr-assets.com/books/1405973850m/2956.jpg
59,24178,24178,180,9780064410940,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,4.15,1064521,1084842,13044,https://images.gr-assets.com/books/1439632243m/24178.jpg
60,1618,1618,183,9781400032720,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,3.85,867553,915790,35796,https://images.gr-assets.com/books/1479863624m/1618.jpg
61,22557272,22557272,14,9781594633670,Paula Hawkins,2015,The Girl on the Train,3.88,1008778,1226485,93600,https://images.gr-assets.com/books/1490903702m/22557272.jpg
62,119322,119322,287,9780679879240,Philip Pullman,1995,Northern Lights,3.94,953970,994914,14915,https://images.gr-assets.com/books/1451271747m/119322.jpg
63,6185,6185,2498,9780393978900,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,3.82,899195,1001135,26157,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
64,10917,10917,125,9780743454540,Jodi Picoult,2004,My Sister's Keeper,4.06,863879,887880,30719,https://images.gr-assets.com/books/1369504683m/10917.jpg
65,4981,4981,241,9780385333850,Kurt Vonnegut Jr.,1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",4.06,846488,891762,19646,https://images.gr-assets.com/books/1440319389m/4981.jpg
66,18405,18405,409,9780446675540,Margaret Mitchell,1936,Gone with the Wind,4.28,873981,897303,16050,https://images.gr-assets.com/books/1328025229m/18405.jpg
67,128029,128029,197,9781594489500,Khaled Hosseini,2007,A Thousand Splendid Suns,4.34,818742,866065,43645,https://images.gr-assets.com/books/1345958969m/128029.jpg
68,22628,22628,128,9780671027350,Stephen Chbosky,1999,The Perks of Being a Wallflower,4.21,888806,954905,47116,https://images.gr-assets.com/books/1167352178m/22628.jpg
69,11735983,11735983,164,9780007442910,Veronica Roth,2012,Insurgent,4.07,836362,947338,55873,https://images.gr-assets.com/books/1325667729m/11735983.jpg
70,375802,375802,224,9780812550700,Orson Scott Card,1985,Ender's Game,4.3,813439,873417,38054,https://images.gr-assets.com/books/1408303130m/375802.jpg
71,18490,18490,2618,9780141439470,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,"Frankenstein; or, The Modern Prometheus",3.75,808589,883563,19993,https://images.gr-assets.com/books/1381512375m/18490.jpg
72,11588,11588,289,9780450040180,Stephen King,1977,The Shining,4.17,791850,830881,14936,https://images.gr-assets.com/books/1353277730m/11588.jpg
73,1656001,1656001,161,9780316068050,Stephenie Meyer,2008,The Host,3.84,749780,777560,39778,https://images.gr-assets.com/books/1318009171m/1656001.jpg
74,99561,99561,187,9780142402510,John Green,2005,Looking for Alaska,4.09,783470,831285,47128,https://images.gr-assets.com/books/1394798630m/99561.jpg
76,14935,14935,1969,9780141439660,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,4.06,738894,779382,11526,https://images.gr-assets.com/books/1397245675m/14935.jpg
77,38709,38709,138,9780439244190,"Louis Sachar, Louis Sachar",1998,Holes,3.93,747445,764637,15832,https://images.gr-assets.com/books/1327781893m/38709.jpg
78,5139,5139,129,9780307275550,Lauren Weisberger,2003,The Devil Wears Prada,3.7,665930,679845,8024,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
79,1381,1381,1703,9780143039950,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,Ὀδύσσεια,3.73,670326,710757,8101,https://images.gr-assets.com/books/1390173285m/1381.jpg
80,157993,157993,1708,9780156012200,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,Le Petit Prince,4.28,738757,859286,24537,https://images.gr-assets.com/books/1367545443m/157993.jpg
81,7445,7445,92,9780743247540,Jeannette Walls,2005,The Glass Castle,4.24,621099,637866,40777,https://images.gr-assets.com/books/1400930557m/7445.jpg
82,1845,1845,108,9780385486800,Jon Krakauer,1996,Into the Wild,3.94,647684,665377,17299,https://images.gr-assets.com/books/1403173986m/1845.jpg
83,1953,1953,525,9780141439600,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,3.81,637412,677713,13093,https://images.gr-assets.com/books/1344922523m/1953.jpg
84,7677,6424171,176,9780307348140,Michael Crichton,1990,Jurassic Park,3.96,447833,650483,8143,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
85,370493,370493,81,9780060256650,Shel Silverstein,1964,The Giving Tree,4.38,702332,708287,14368,https://images.gr-assets.com/books/1174210942m/370493.jpg
86,32542,32542,158,9780385338610,John Grisham,1989,A Time to Kill,4.03,597775,608824,4239,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
87,1617,1617,109,9780374500020,"Elie Wiesel, Marion Wiesel",1958,Un di Velt Hot Geshvign,4.3,691231,707879,22001,https://images.gr-assets.com/books/1473495285m/1617.jpg
88,6442769,6442769,178,9780142414930,John Green,2008,Paper Towns,3.88,461311,655271,42717,https://images.gr-assets.com/books/1349013610m/6442769.jpg
89,21787,21787,129,9780345418260,William Goldman,1973,The Princess Bride,4.25,628637,658042,15630,https://images.gr-assets.com/books/1327903636m/21787.jpg
90,231804,231804,156,9780140385720,S.E. Hinton,1967,The Outsiders,4.06,659248,680437,22662,https://images.gr-assets.com/books/1442129426m/231804.jpg
91,6186357,6186357,147,9780385737940,James Dashner,2009,The Maze Runner,4.02,719925,777956,48942,https://images.gr-assets.com/books/1375596592m/6186357.jpg
92,1202,1202,124,9780061234000,"Steven D. Levitt, Stephen J. Dubner",2005,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,3.93,524191,549301,13668,https://images.gr-assets.com/books/1327909092m/1202.jpg
93,2998,2998,1350,9780517189600,Frances Hodgson Burnett,1911,The Secret Garden,4.12,639357,692249,13054,https://images.gr-assets.com/books/1327873635m/2998.jpg
94,320,320,555,9780060531040,"Gabriel García Márquez, Gregory Rabassa",1967,Cien años de soledad,4.04,490565,575667,21671,https://images.gr-assets.com/books/1327881361m/320.jpg
95,5297,5297,2303,9780375751520,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,4.06,590014,674551,19647,https://images.gr-assets.com/books/1424596966m/5297.jpg
96,13536860,13536860,133,9780345803500,E.L. James,2012,Fifty Shades Freed,3.88,387290,610116,25287,https://images.gr-assets.com/books/1336418837m/13536860.jpg
97,17245,17245,2207,9780393970130,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,3.98,618973,689739,17263,https://images.gr-assets.com/books/1387151694m/17245.jpg
98,5060378,5060378,209,9780307269980,"Stieg Larsson, Reg Keeland",2006,Flickan som lekte med elden,4.22,563994,649253,31423,https://images.gr-assets.com/books/1351778881m/5060378.jpg
99,11857408,11857408,147,9781612130580,E.L. James,2011,Fifty Shades Darker,3.87,552059,623340,28052,https://images.gr-assets.com/books/1358266080m/11857408.jpg
100,7244,7244,39,9780060786500,Barbara Kingsolver,1998,The Poisonwood Bible,4.02,546502,562787,19941,https://images.gr-assets.com/books/1412242487m/7244.jpg
101,4137,4137,59,9780349113910,David Sedaris,2000,Me Talk Pretty One Day,3.97,495736,514276,14982,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
102,19543,19543,110,9780099408390,Maurice Sendak,1963,Where the Wild Things Are,4.22,620618,636061,9102,https://images.gr-assets.com/books/1384434560m/19543.jpg
103,7126,7126,1310,9780140449270,"Alexandre Dumas, Robin Buss",1844,Le Comte de Monte-Cristo,4.21,555822,601220,15925,https://images.gr-assets.com/books/1309203605m/7126.jpg
104,6288,6288,181,9780307265430,Cormac McCarthy,2006,The Road,3.95,504793,555787,38980,https://images.gr-assets.com/books/1439197219m/6288.jpg
105,18710190,18710190,153,9780007524270,Veronica Roth,2013,Allegiant,3.63,463257,663226,62536,https://images.gr-assets.com/books/1395582745m/18710190.jpg
107,3473,3473,131,9780446693810,Nicholas Sparks,1999,A Walk to Remember,4.15,546948,559581,11071,https://images.gr-assets.com/books/1385738968m/3473.jpg
108,9416,9416,144,9780440241420,Sophie Kinsella,2000,Confessions of a Shopaholic,3.61,543658,558004,11170,https://images.gr-assets.com/books/1327872404m/9416.jpg
109,24280,24280,1319,9780451525260,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,4.14,513407,560132,12505,https://images.gr-assets.com/books/1411852091m/24280.jpg
110,10572,10572,202,9780553381700,George R.R. Martin,1998,A Clash of Kings,4.4,523303,606765,20325,https://images.gr-assets.com/books/1358254974m/10572.jpg
111,10441,10441,98,9780143037150,Kim Edwards,2005,The Memory Keeper's Daughter,3.64,501430,510582,18027,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
112,15507958,15507958,168,9780670026610,Jojo Moyes,2012,Me Before You,4.27,587647,741133,71412,https://images.gr-assets.com/books/1357108762m/15507958.jpg
113,168668,168668,251,9780684833390,Joseph Heller,1961,Catch-22,3.98,563265,582515,13734,https://images.gr-assets.com/books/1463157317m/168668.jpg
114,6900,6900,172,9780751529810,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,4.06,556518,584397,19272,https://images.gr-assets.com/books/1423763749m/6900.jpg
115,2187,2187,125,9780312422160,Jeffrey Eugenides,2002,Middlesex,3.98,488243,507998,20880,https://images.gr-assets.com/books/1437029776m/2187.jpg
116,24583,24583,2448,9780143039560,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,3.89,555359,594226,7165,https://images.gr-assets.com/books/1404811979m/24583.jpg
117,18131,18131,165,9780440498060,Madeleine L'Engle,1962,A Wrinkle in Time,4.04,615907,650094,19413,https://images.gr-assets.com/books/1329061522m/18131.jpg
118,7763,7763,126,9780143038090,Amy Tan,1989,The Joy Luck Club,3.9,515090,525243,6708,https://images.gr-assets.com/books/1304978653m/7763.jpg
119,38447,38447,236,9780385490820,Margaret Atwood,1985,The Handmaid's Tale,4.06,607889,683564,35925,https://images.gr-assets.com/books/1498057733m/38447.jpg
120,452306,452306,93,9780385729340,Ann Brashares,2001,The Sisterhood of the Traveling Pants,3.75,525706,536604,6477,https://images.gr-assets.com/books/1461611233m/452306.jpg
122,37442,37442,80,9780060987110,"Gregory Maguire, Douglas Smith",1995,Wicked: The Life and Times of the Wicked Witch of the West,3.52,506900,525498,22926,https://images.gr-assets.com/books/1437733293m/37442.jpg
123,5358,5358,11,9780582418270,John Grisham,1991,The Firm,3.99,488269,488355,3139,https://images.gr-assets.com/books/1418465200m/5358.jpg
124,7937843,7937843,151,9780316098340,Emma Donoghue,2010,Room,4.03,511360,556327,42254,https://images.gr-assets.com/books/1344265419m/7937843.jpg
125,1420,1420,1929,9780521618750,"William Shakespeare, Richard Andrews, Rex Gibson",1600,"The Tragicall Historie of Hamlet, Prince of Denmark",4.0,515820,576894,8889,https://images.gr-assets.com/books/1351051208m/1420.jpg
126,234225,234225,241,9780340839940,Frank Herbert,1965,Dune,4.19,485032,525976,13239,https://images.gr-assets.com/books/1434908555m/234225.jpg
127,2612,2612,100,9780316346630,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,3.92,490504,499066,10895,https://images.gr-assets.com/books/1473396980m/2612.jpg
128,11084145,11084145,190,9781451648540,Walter Isaacson,2011,Steve Jobs,4.09,560715,579256,15198,https://images.gr-assets.com/books/1327861368m/11084145.jpg
129,332613,332613,275,9780451163970,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,4.18,491642,514458,7855,https://images.gr-assets.com/books/1485308778m/332613.jpg
130,2165,2165,666,9780684830490,Ernest Hemingway,1952,The Old Man and the Sea,3.73,520630,574328,16716,https://images.gr-assets.com/books/1329189714m/2165.jpg
131,4395,18114322,381,9780142000660,John Steinbeck,1939,The Grapes of Wrath,3.92,322321,553352,12991,https://images.gr-assets.com/books/1352912927m/4395.jpg
132,3431,3431,123,9781401308580,Mitch Albom,2003,The Five People You Meet in Heaven,3.9,449501,474699,16682,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
133,8127,8127,1314,9780451528830,L.M. Montgomery,1908,Anne of Green Gables,4.23,502247,533352,14041,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
134,3777732,3777732,122,9781416914300,Cassandra Clare,2009,City of Glass,4.34,593173,630560,22736,https://images.gr-assets.com/books/1369452339m/3777732.jpg
135,62291,62291,175,9780553573430,George R.R. Martin,2000,A Storm of Swords,4.54,469022,527644,19497,https://images.gr-assets.com/books/1497931121m/62291.jpg
136,137791,137791,75,9780060759960,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,3.79,465676,470508,3867,https://images.gr-assets.com/books/1408313524m/137791.jpg
137,10964,10964,189,9780440242950,Diana Gabaldon,1991,Outlander,4.2,515547,578842,36707,https://images.gr-assets.com/books/1402600310m/10964.jpg
138,12296,12296,1579,9780142437260,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,3.37,509883,559246,11428,https://images.gr-assets.com/books/1404810944m/12296.jpg
139,9460487,9460487,155,9781594744760,Ransom Riggs,2011,Miss Peregrine’s Home for Peculiar Children,3.89,613674,672222,53569,https://images.gr-assets.com/books/1472782916m/9460487.jpg
140,6892870,6892870,193,9780307270000,"Stieg Larsson, Reg Keeland",2007,Luftslottet som sprängdes,4.2,443951,526791,26766,https://images.gr-assets.com/books/1327708260m/6892870.jpg
141,18007564,18007564,148,9780804139020,Andy Weir,2012,The Martian,4.39,423344,529702,61298,https://images.gr-assets.com/books/1413706054m/18007564.jpg
142,5043,5043,255,9780451207140,Ken Follett,1989,The Pillars of the Earth,4.29,462517,495893,26283,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
144,8664353,8664353,16,9781400064170,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4,487775,528552,41572,https://images.gr-assets.com/books/1327861115m/8664353.jpg
145,976,976,180,9780671027380,Dan Brown,2001,Deception Point,3.67,455610,479733,7798,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
146,17333223,17333223,108,9780316055440,Donna Tartt,2013,The Goldfinch,3.87,396756,463847,44631,https://images.gr-assets.com/books/1451554970m/17333223.jpg
147,1217100,29844228,150,9781595141710,Jay Asher,2007,Thirteen Reasons Why,4.02,463783,571281,43467,https://images.gr-assets.com/books/1333822506m/1217100.jpg
148,2865,2865,169,9780452287020,Tracy Chevalier,1999,Girl with a Pearl Earring,3.85,467577,492177,8011,https://images.gr-assets.com/books/1327197580m/2865.jpg
149,4374400,4374400,130,9780525421030,Gayle Forman,2009,If I Stay,3.96,503527,567087,34959,https://images.gr-assets.com/books/1347462970m/4374400.jpg
150,4989,4989,80,9780312353770,Anita Diamant,1997,The Red Tent,4.16,424981,449217,17234,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
151,28186,28186,121,9780786856860,Rick Riordan,2006,The Sea of Monsters,4.23,514932,550512,20097,https://images.gr-assets.com/books/1400602661m/28186.jpg
152,5526,5526,111,9780446528050,Nicholas Sparks,2006,Dear John,4.01,441062,454781,10626,https://images.gr-assets.com/books/1397749854m/5526.jpg
153,1582996,1582996,125,9781416914300,Cassandra Clare,2008,City of Ashes,4.21,541117,586008,23643,https://images.gr-assets.com/books/1432730356m/1582996.jpg
154,8852,8852,1732,9780743477110,William Shakespeare,1606,The Tragedy of Macbeth,3.88,496018,524826,7609,https://images.gr-assets.com/books/1459795224m/8852.jpg
155,15241,15241,453,9780618346260,J.R.R. Tolkien,1954,The Two Towers,4.42,480446,532209,6980,https://images.gr-assets.com/books/1298415523m/15241.jpg
156,42156,42156,65,9780312321180,Emily Giffin,2004,Something Borrowed,3.83,403601,435189,11567,https://images.gr-assets.com/books/1305063535m/42156.jpg
157,23772,23772,72,9780394800160,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,4.29,457475,461041,7370,https://images.gr-assets.com/books/1468680100m/23772.jpg
158,6310,6310,338,9780142403880,"Roald Dahl, Quentin Blake",1964,Charlie and the Chocolate Factory,4.1,453959,494747,8473,https://images.gr-assets.com/books/1309211401m/6310.jpg
159,2120932,2120932,92,9781423101470,Rick Riordan,2008,The Battle of the Labyrinth,4.39,508214,537708,14098,https://images.gr-assets.com/books/1443142158m/2120932.jpg
160,2623,2623,1725,9780192833590,Charles Dickens,1860,Great Expectations,3.75,459247,507187,12311,https://images.gr-assets.com/books/1327920219m/2623.jpg
161,18512,18512,470,9780345339740,J.R.R. Tolkien,1955,The Return of the King,4.51,463959,510537,6644,https://images.gr-assets.com/books/1389977161m/18512.jpg
163,7736182,7736182,72,9781423113390,Rick Riordan,2010,The Lost Hero,4.35,271576,489495,17107,https://images.gr-assets.com/books/1464201003m/7736182.jpg
164,15745753,15745753,103,9781250012580,Rainbow Rowell,2013,Eleanor & Park,4.11,514312,579753,53005,https://images.gr-assets.com/books/1341952742m/15745753.jpg
165,13497,13497,176,9780553582020,George R.R. Martin,2005,A Feast for Crows,4.1,428186,481130,18876,https://images.gr-assets.com/books/1429538615m/13497.jpg
166,7735333,7735333,84,9780525423640,Ally Condie,2010,Matched,3.68,511815,530680,30226,https://images.gr-assets.com/books/1367706191m/7735333.jpg
167,4407,30165203,196,9780747263750,Neil Gaiman,2001,American Gods,4.11,378019,518343,27587,https://images.gr-assets.com/books/1258417001m/4407.jpg
